event,location,latitude,longitude,event_type
"Taoist monk Wang Yuanlu discovers the Dunhuang manuscripts , a cache of ancient texts that are of great historical and religious significance, in the Mogao Caves of Dunhuang , China, where they have been sealed since the early 11th century.","Dunhuang, China",39.4,98.4,none
"Hoboken Docks fire : A wharf fire at the docks in Hoboken, New Jersey , spreads to German passenger ships Saale , Main and Bremen . The fire engulfs the adjacent piers and nearby ships, killing 326 people.","Hoboken, New Jersey",40.77,-74.1,cataclysm or fire
"Archduke Franz Ferdinand of Austria makes a morganatic marriage with Sophie, Duchess of Hohenberg .",Austria,47.0,15.0,none
"The first zeppelin airship flight, by Zeppelin LZ 1 , is carried out over Lake Constance , near Friedrichshafen , Germany .","Lake Constance, Germany",47.4,9.5,none
"The Federation of Australia is enacted, marking the unification of its colonies into a single country.",Australia,-25.3,133.8,none
The new German cruise liner SS Deutschland breaks the record for the Blue Riband on her maiden transatlantic voyage with an average speed of 22.4 knots (41.5 km/h).,,,,none
The first line of the Paris Métro opens.,"Paris, France",48.8584,2.3474,none
25 – The First Pan-African Conference is held in London.,"London, United Kingdom",51.5,-0.1,none
King Umberto I of Italy is assassinated by Italian -born anarchist Gaetano Bresci in Monza .,Monza,45.6,9.0,terrorist act
"Boxer Rebellion : An international contingent of troops, under British command, invades Peking and frees the European hostages.","Peking (Beijing), China",39.9,116.4,revolution or coup
"The 1900 Galveston hurricane , killing around 8,000 people. It is the deadliest hurricane in U.S. history.","Galveston, United States",29.3,-94.6,cataclysm or fire
Admiral Fredrik von Otter becomes Prime Minister of Sweden .,Sweden,58.0,11.4,none
Philippine–American War : Battle of Pulang Lupa – Filipino resistance fighters defeat a detachment of American soldiers.,"Pulang Lupa, Philippines",14.58,120.97,war
Philippine–American War : Battle of Mabitac – Filipinos under Juan Cailles defeat the Americans.,Mabitac,14.5,121.0,war
The Cook Islands become a territory of the United Kingdom.,Cook Islands,-21.2,-159.7,purchase or sale of territory
"Max Planck first states Planck's law of black-body radiation to a meeting of the German Physical Society in Berlin, marking the birth of modern quantum mechanics . He restates it on December 14.","Berlin, Germany",52.5,13.4,none
1900 United Kingdom general election : voting concludes with the Unionists led by the Marquess of Salisbury re-elected.,United Kingdom,55.3,-3.0,none
The United Kingdom annexes the Transvaal .,Transvaal,25.0,28.0,purchase or sale of territory
1900 United States presidential election : Republican incumbent William McKinley is re-elected by defeating Democratic challenger William Jennings Bryan in a rematch.,United States,37.0,-95.7,none
1900 Canadian federal election : Liberal incumbent Sir Wilfrid Laurier is reelected by defeating Conservative leader Sir Charles Tupper again after having done that in the 1896 Canadian federal election .,Canada,56.1,-105.9,none
Herbert Kitchener succeeds Frederick Roberts as commander-in-chief of the British forces in South Africa and implements a scorched earth strategy.,South Africa,-26.0,28.0,war
"The final Anglo-Ashanti War , "" War of the Golden Stool "", is declared over. Most of the British troops and Governor James Willcocks depart the city of Kumasi .",Kumasi,6.7,-2.2,war
History of quantum mechanics : Max Planck presents his groundbreaking paper on quantum theory to the German Physical Society in Berlin .,"Berlin, Germany",52.5,13.4,none
"The German training frigate Gneisenau , with 450 naval cadets on board, sinks in a storm during exercises off of the Spanish coast at Málaga , drowning 136.","Málaga, Spain",36.7,-4.0,cataclysm or fire
"The Prix Guzman , first and only prize ever offered for communication with extraterrestrial life , is announced in Paris . A prize of 100,000 francs is provided, except for communication with Mars , which is considered too easy.","Paris, France",48.85,2.35,none
"Hopetoun Blunder : The first Governor-General of Australia , John Hope, 7th Earl of Hopetoun , appoints Sir William Lyne premier of the new state of New South Wales , but he is unable to persuade other colonial politicians to join his government, and is forced to resign.",Australia,-33.86,151.21,none
"Reginald Fessenden makes the first use of amplitude modulation (the basis for AM radio ) for wireless transmission of the human voice, from Cobb Island (Maryland) .","Cobb Island, Maryland",38.3,-76.5,none
"Boxer Rebellion Demands: The foreign powers present their 12 conditions for reform to the Chinese Imperial government, including the payment of a large indemnity.",China,35.8,104.1,revolution or coup
The first steel produced by electrometallurgy (from an electric furnace) is delivered.,,,,none
"Lord Kitchener reports that Christiaan de Wet has shot one of the ""peace"" envoys, and flogged two more, who had gone to his commando to ask the Burgher citizens of South Africa to halt fighting.",South Africa,29.0,26.0,none
"Queen Victoria of the United Kingdom dies at Osborne House on the Isle of Wight . She is 81 years old and, having ruled for nearly 64 years, will be the second longest-reigning monarch in British history . Her eldest son, Prince Albert Edward, ""Bertie"", the longest-serving Prince of Wales to this time, succeeds his mother at the age of 59, reigning as King Edward VII , of the United Kingdom and in innovation the British Dominions and also becoming Emperor of India .","Isle of Wight, United Kingdom",50.8,-1.2,dynasty change
"Anton Chekhov 's play Three Sisters (Три сeстры, Tri sestry ) is premiered at the Moscow Art Theatre .","Moscow, Russia",55.75,37.61,none
"The State funeral of Queen Victoria , held at St George's Chapel, Windsor Castle , UK, is attended by many European royals, including Kaiser Wilhelm II and Archduke Franz Ferdinand of Austria .","Windsor Castle, UK",51.457,-0.747,none
"Viceroy of India Lord Curzon creates the new North-West Frontier Province in the north of the Punjab region , bordering Afghanistan .","North-West Frontier Province, India",33.5,72.5,purchase or sale of territory
Edward VII opens his first parliament of the United Kingdom .,United Kingdom,55.4,-3.0,none
The Hawaii Territory Legislature convenes for the first time.,"Hawaii Territory, United States",21.3,-157.8,none
"The Pacific Mail Steamship Company 's SS City of Rio de Janeiro sinks entering San Francisco Bay , killing 128.","San Francisco Bay, United States",37.8,-122.4,cataclysm or fire
The United Kingdom and Germany agree on the frontier between German East Africa and Nyasaland .,"German East Africa, Nyasaland",PARSE_ERROR,PARSE_ERROR,purchase or sale of territory
"U.S. Steel is incorporated by industrialist J. P. Morgan , as the first billion-dollar corporation.",United States,38.9,-77.0,financial reform
"The Sultan of Turkey orders 50,000 troops to the Bulgarian frontier because of unrest in Macedonia .",Bulgaria,42.0,26.0,war
"The United States Congress passes the Platt Amendment , limiting the autonomy of Cuba as a condition for the withdrawal of American troops.",Cuba,21.0,-80.0,none
Irish nationalist demonstrators are ejected by police from the House of Commons of the United Kingdom in London.,"London, United Kingdom",51.5,-0.1,revolution or coup
"In Bremen , an assassination attempt is made on Wilhelm II, German Emperor .",Bremen,53.0,9.5,terrorist act
"The first large-scale showing of Van Gogh 's paintings takes place in Paris, as 71 are shown at the Bernheim-Jeune gallery, 11 years after his death.","Paris, France",48.8566,2.3522,none
Anti-Semitic rioting breaks out in Budapest .,Budapest,47.5,19.1,none
"The Caste War of Yucatán in Mexico officially ends, although Mayan skirmishers continue sporadic fighting for another decade.","Yucatán, Mexico",20.7,-90.0,revolution or coup
The first Australian Parliament opens in Melbourne .,Melbourne,-37.8,144.9,none
Panic of 1901 : The New York Stock Exchange crashes.,"New York City, United States",40.7,-74.0,financial reform
"81 miners are killed in an accident at Universal Colliery, Senghenydd in South Wales .","Senghenydd, South Wales",51.6339,-3.5331,cataclysm or fire
The Club Atlético River Plate is founded in Argentina .,Argentina,34.0,-58.0,none
D'Arcy Concession : Mozaffar ad-Din Shah Qajar of Persia grants British businessman William Knox D'Arcy a concession giving him an exclusive right to prospect for oil.,Persia (modern-day Iran),32.0,53.0,purchase or sale of territory
Cuba becomes a United States protectorate .,Cuba,21.0,-80.0,purchase or sale of territory
RMS Lucania is the first Cunard Line ship to receive a wireless radio set.,,,,none
British peace campaigner Emily Hobhouse reports on the high mortality and cruel conditions in the Second Boer War concentration camps .,South Africa,29.0,24.0,war
"The first United Kingdom Fingerprint Bureau is established at Scotland Yard , the Metropolitan Police headquarters in London, by Edward Henry .","London, United Kingdom",51.5,-0.1,none
"The world's first passenger-carrying trolleybus in regular service operates on the Biela Valley Trolleybus route at Königstein , Germany.","Königstein, Germany",50.1,12.9,none
"Peter O'Connor sets the first International Association of Athletics Federations recognised long jump world record , of 24 ft 11¾ ins (7.61m). The record will stand for 20 years.",,,,none
Discovery Expedition : Robert Falcon Scott sets sail from Britain on the RRS Discovery to explore the Ross Sea in Antarctica.,Antarctica,-70.0,-100.0,none
"The first claimed powered flight is made, by German-born American aviator Gustave Whitehead , in his Number 21 , in Connecticut .","Connecticut, United States",41.5,-72.5,none
The International Secretariat of National Trade Union Centres is founded in Copenhagen .,Copenhagen,55.7,12.5,none
"Hubert Cecil Booth patents an electric vacuum cleaner , in the United Kingdom.",United Kingdom,55.4,-3.0,none
"The National Association of Professional Baseball Leagues (later renamed Minor League Baseball ), is formed in Chicago.","Chicago, United States",41.88,-87.63,none
"William McKinley assassination : American anarchist Leon Czolgosz shoots U.S. President William McKinley at the Pan-American Exposition in Buffalo, New York . McKinley dies 8 days later.","Buffalo, New York, United States",42.9,-78.8,terrorist act
The Boxer Rebellion in Qing dynasty China officially ends with the signing of the Boxer Protocol .,China,35.7,104.0,revolution or coup
"Vice President Theodore Roosevelt becomes the 26th president of the United States, upon President William McKinley 's death.",United States,38.9,-77.0,dynasty change
Philippine–American War : Balangiga massacre : Filipino guerrillas kill more than forty United States soldiers in a surprise attack in the town of Balangiga .,Balangiga,11.583,124.783,war
"The British Royal Navy 's first submarine , Holland 1 , is launched at Barrow-in-Furness .","Barrow-in-Furness, United Kingdom",54.3,-3.0,none
The American yacht Columbia defeats the British Shamrock in the America's Cup yachting race in New York.,"New York, United States",40.7,-74.0,none
Michigan schoolteacher Annie Edson Taylor goes over Niagara Falls in a barrel and survives.,Niagara Falls,43.05,-79.09,none
"The Sigma Phi Epsilon college fraternity is founded in Richmond, Virginia .","Richmond, Virginia",37.5,-77.4,none
Rachmaninoff 's Piano Concerto No. 2 is premiered in Moscow with the composer playing the solo part.,Moscow,55.75,37.61,none
"1901 Caister lifeboat disaster : a life-boat capsizes on service on the east coast of England during a great storm; nine of the twelve crew on board are killed. This gives ride to the lifeboatmen's motto ""Never turn back.""",East coast of England,52.7,1.5,cataclysm or fire
"The Alpha Sigma Alpha fraternity is founded at Longwood University in Farmville, Virginia .","Farmville, Virginia, United States",36.9,-78.6,none
"The Hay–Pauncefote Treaty is signed by the United Kingdom and United States, allowing the U.S. to build the Panama Canal under its sole control.",Panama,9.17,-80.27,purchase or sale of territory
"Auguste Deter is first examined by German psychiatrist Dr. Alois Alzheimer , leading to a diagnosis of the condition that will carry Alzheimer's name .",Germany,51.0,10.0,none
"The first Nobel Prize ceremony is held in Stockholm , on the fifth anniversary of Alfred Nobel 's death.",Stockholm,59.3,18.0,none
"Guglielmo Marconi receives the first trans-Atlantic radio signal, sent from Poldhu , England, to St. John's , Newfoundland ; it is the letter ""S"" in Morse code .","St. John's, Newfoundland",47.5,-52.8,none
"The final spike is driven into the Mombasa–Victoria–Uganda Railway , in modern-day Kisumu , Kenya .","Kisumu, Kenya",0.3,34.8,none
"A train collision in the New York Central Railroad 's Park Avenue Tunnel kills 17 people, injures 38, and leads to increased demand for electric trains and the banning of steam locomotives in New York City .","New York City, United States",40.7,-74.0,cataclysm or fire
"Hakkōda Mountains incident : A snowstorm in the Hakkōda Mountains of northern Honshu , Japan , kills 199 during a military training exercise.","Hakkōda Mountains, northern Honshu, Japan",39.0,140.0,cataclysm or fire
The Anglo-Japanese Alliance is signed.,,,,none
"The 1st Conference of the International Woman Suffrage Alliance takes place in Washington, D.C. .","Washington, D.C., United States",38.9,-77.0,none
The Berlin U-Bahn underground is opened.,"Berlin, Germany",52.5,13.4,none
U.S. President Theodore Roosevelt prosecutes the Northern Securities Company for violation of the antitrust Sherman Act .,United States,38.9,-77.0,financial reform
Australian officers Breaker Morant and Peter Handcock are executed for the murder of Boer prisoners of war near Louis Trichardt .,"Louis Trichardt, South Africa",-22.8,28.8,war
"Second Boer War : Battle of Tweebosch – South African Boers win their last battle over the British Army , with the capture of a British general and 200 of his men.","Tweebosch, South Africa",26.3,28.1,war
Jean Sibelius 's Symphony No. 2 is premiered in Helsinki .,Helsinki,60.2,24.9,none
The Pattani Sultanate is abolished by the Siamese authority after the last sultan of Pattani refused new administrative reforms by the Siamese.,"Pattani, Thailand",6.1,102.8,revolution or coup
"The Electric Theatre, the first movie theater in the United States, opens in Los Angeles .","Los Angeles, United States",34.05,-118.25,none
"Tenor Enrico Caruso makes the first million-selling recording, for the Gramophone Company in Milan .","Milan, Italy",45.5,9.2,none
"A new land speed record of 74 mph (119 km/h) is set in Nice , France, by Léon Serpollet driving a steam car.","Nice, France",43.7,7.4,none
"The 7.5 M w Guatemala earthquake shakes Guatemala with a maximum Mercalli intensity of VIII ( Severe ), killing between 800 and 2,000.",Guatemala,14.6,-90.5,cataclysm or fire
"La Soufrière volcano on the Caribbean island of Saint Vincent erupts, devastating the northern portion of the island and killing 2,000 people",Saint Vincent,13.2,-61.2,cataclysm or fire
"Mount Pelée in Martinique erupts, destroying the town of Saint-Pierre and killing over 30,000.",Martinique,14.7,-61.0,cataclysm or fire
Alfonso XIII of Spain begins his reign.,Spain,40.4,-3.7,dynasty change
Cuba gains independence from the United States.,Cuba,21.0,-80.0,revolution or coup
The White Star Liner SS Ionic is launched by Harland and Wolff in Belfast .,Belfast,54.6,-5.9,none
The London School of Economics is opened by Lord Rosebery .,"London, United Kingdom",51.5,-0.1,none
The Treaty of Vereeniging ends the Second Boer War .,"Vereeniging, South Africa",26.0,28.0,war
"Minnesota Mining and Manufacturing, predecessor of global consumer goods brand 3M , begins trading as a mining venture at Two Harbors in the United States.","Two Harbors, United States",47.0,-92.2,none
The New York Central Railroad inaugurates the 20th Century Limited passenger train between Chicago and New York City.,"New York City, United States",40.7,-74.0,none
"The Commonwealth Franchise Act in Australia grants women's suffrage in federal elections for resident British subjects (with certain ethnic minorities excepted), making Australia the first independent country to grant women the vote at a national level, and the first country to allow them to stand for Parliament.",Australia,-35.5,139.5,none
"Edward VII institutes the Order of Merit , an order bestowed personally by the British monarch on up to 24 distinguished Empire recipients.",United Kingdom,55.3,-3.0,none
Philippine–American War ends.,Philippines,14.6,120.9,war
Erik Gustaf Boström returns as Prime Minister of Sweden .,Sweden,58.0,11.4,none
The United States Bureau of Reclamation is established within the U.S. Geological Survey .,United States,38.9,-77.0,none
"The Rolling Mill Mine disaster in Johnstown, Pennsylvania , kills 112 miners.","Johnstown, Pennsylvania, United States",40.43,-78.0,cataclysm or fire
Lord Salisbury retires as Prime Minister of the United Kingdom .,United Kingdom,55.4,-3.0,dynasty change
Fluminense Football Club is founded in Rio de Janeiro .,Rio de Janeiro,-22.9,-43.2,none
"100 miners die in a pit explosion in Wollongong , Australia.","Wollongong, Australia",-34.4,150.9,cataclysm or fire
"Coronation of Edward VII as King of the United Kingdom and the British Dominions , Emperor of India at Westminster Abbey in London.","London, United Kingdom",51.5,-0.1,dynasty change
"A statue of Joan of Arc is unveiled in Saint-Pierre-le-Moûtier , the French town which she stormed in 1429 .","Saint-Pierre-le-Moûtier, France",46.5,4.2,none
"Mount Pelée again erupts in Martinique, destroying the town of Le Morne-Rouge and causing 1,000 deaths.",Martinique,14.7,-61.0,cataclysm or fire
"The first science fiction film , the silent A Trip to the Moon ( Le Voyage dans La Lune ), is premièred at the Théâtre Robert-Houdin in Paris, France, by actor/producer Georges Méliès , and proves an immediate success.","Paris, France",48.8566,2.3522,none
"Shiloh Baptist Church stampede : 115 people are killed in a crush at a black church in Birmingham, Alabama , following a mistaken alarm of fire after an address by Booker T. Washington .","Birmingham, Alabama, United States",33.55,-86.8,cataclysm or fire
"The first Borstal (youth offenders' institution) opens in Borstal, Kent , U.K.","Borstal, Kent, U.K.",51.3,1.0,none
A five-month strike by the United Mine Workers in the United States ends.,United States,37.0,-95.0,none
"One of the largest volcanic eruptions of the 20th century occurs at Santa María in Guatemala; over 6,000 people die.","Santa María, Guatemala",14.5,-91.0,cataclysm or fire
"A newspaper cartoon depicting U.S. President ""Teddy"" Roosevelt refusing to shoot a bear cub inspires creation of the first teddy bear by Morris Michtom in New York City.","New York City, United States",40.7,-74.0,none
"On the American frontier , the second-in-command of Butch Cassidy's Wild Bunch , Harvey Logan (""Kid Curry""), is captured after a shootout with lawmen in Knoxville, Tennessee. He is sentenced to a $5,000 fine and 20 years hard labor for robbery but escapes custody in 1903.","Knoxville, Tennessee",35.9,-83.9,none
The first Aswan Dam on the Nile is completed.,"Aswan, Egypt",24.5,30.8,none
"The Commercial Telegraph Agency (TTA, Torgovo-Telegrafnue Agenstvo), predecessor of TASS , is officially established under the Ministry of Finance at Saint Petersburg in the Russian Empire .","Saint Petersburg, Russian Empire",59.9,30.3,none
"Discovery Expedition : British explorers Scott , Shackleton and Wilson reach the furthest southern point reached thus far by man, south of 82°S.",Antarctica,-70.0,-100.0,none
Edward VII is proclaimed Emperor of India .,India,20.0,78.0,dynasty change
"The Aceh Sultanate was fully annexed by the Dutch forces, deposing the last sultan, marking the end of the Aceh War that have lasted for almost 30 years.","Aceh, Indonesia",6.15,96.7,revolution or coup
The first west–east transatlantic radio broadcast is made from the United States to England (the first east–west broadcast having been made in 1901 ).,"United States, England",PARSE_ERROR,PARSE_ERROR,none
"Venezuelan crisis : After agreeing to arbitration in Washington, the United Kingdom, Germany and Italy reach a settlement with Venezuela resulting in the Washington Protocols. The naval blockade that began in 1902 will end.",Venezuela,10.5,-66.5,none
"Cuba leases Guantánamo Bay to the United States ""in perpetuity"".","Guantánamo Bay, Cuba",19.8,-75.0,purchase or sale of territory
"In New York City , the Martha Washington Hotel , the first hotel exclusively for women, opens.","New York City, United States",40.7,-74.0,none
The British Admiralty announces plans to build the Rosyth Dockyard as a naval base at Rosyth in Scotland.,"Rosyth, Scotland",55.7,-3.1,none
The Ottoman Empire and the German Empire sign an agreement to build the Constantinople–Baghdad Railway .,"Ottoman Empire, Germany",PARSE_ERROR,PARSE_ERROR,none
The University of Puerto Rico is founded.,Puerto Rico,18.2,-66.5,none
"Having abolished the Sokoto Caliphate in West Africa, the new British administration accepts the concession of its last vizier .",West Africa,,,revolution or coup
"The Hay–Herrán Treaty , granting the United States the right to build the Panama Canal , is ratified by the United States Senate . The Colombian senate later rejects the treaty.",Colombia,4.0,-72.0,purchase or sale of territory
The first of a series of auctions of sheep farming land in southern Patagonia takes place impacting established settlers .,Southern Patagonia,-47.0,-70.0,purchase or sale of territory
"21 ( April 6 – 8 O.S. ) – The first Kishinev pogrom , beginning on Easter Day, takes place in Kishinev , capital of the Bessarabia Governorate of the Russian Empire . At least 47 Jews are killed and others injured during mob rioting encouraged by blood libel articles in the press and led by priests; no attempt is made by police or military to intervene until the third day.","Kishinev, Bessarabia Governorate of the Russian Empire",47.0,29.1,epidemic
Atlético Madrid is officially founded as a professional association football club in Spain .,Spain,40.4,-3.7,none
Leading Macedonian Bulgarian revolutionary Gotse Delchev is killed in a skirmish with the Ottoman army.,Macedonia,41.8,22.7,revolution or coup
"The port of Burgas , Bulgaria opens.","Burgas, Bulgaria",42.3,27.8,none
"The Paris–Madrid race for automobiles begins, during which at least eight people are killed; the French government stops the event at Bordeaux and impounds all of the competitors' cars.",France,46.2,2.3,none
"Românul de la Pind , the longest-running newspaper by and about Aromanians until World War II , is founded.",Pind,39.5,22.0,none
"The town of Heppner, Oregon is nearly destroyed by a cloud burst that results in a flash flood that kills about 238 people.","Heppner, Oregon",44.3339,-118.8831,cataclysm or fire
"The Ford Motor Company is founded by Henry Ford with $28,000 in cash from 12 investors.","Detroit, United States",42.3,-83.0,purchase or sale of territory
"American socialite Aida de Acosta , 19, becomes the first woman to fly a powered aircraft solo when she pilots Santos-Dumont 's motorized dirigible , ""No. 9"", from Paris to Château de Bagatelle in France.",France,48.9,2.4,none
19 – The first Tour de France bicycle race is held; Maurice Garin wins it.,France,48.9,2.3,none
The British take over the Fulani Empire .,Fulani Empire,,,purchase or sale of territory
"United States Cartridge Company explosion : The explosion of two explosives storage magazines destroys 70 homes, killing 22 residents of Tewksbury, Massachusetts .","Tewksbury, Massachusetts",42.6,-71.1,cataclysm or fire
"August 23 ( July 17 – August 10 , O.S. ) – The Second Congress of the All- Russian Social Democratic Labour Party is held in exile in Brussels , transferring to London.",Brussels,50.8,4.3,revolution or coup
"The Ilinden–Preobrazhenie Uprising , organized by the Secret Macedonian-Adrianople Revolutionary Organization , breaks out in the Ottoman provinces of Macedonia and Adrianople .","Macedonia and Adrianople, Ottoman Empire",41.8,22.7,revolution or coup
The Kruševo Republic is proclaimed in Ottoman Macedonia; it is crushed 10 days later.,Ottoman Macedonia,41.5,22.5,revolution or coup
Pope Pius X succeeds Pope Leo XIII as the 257th pope .,Vatican City,41.9,12.5,dynasty change
The Paris Métro train fire at Couronnes results in 84 deaths.,"Couronnes, France",48.8,2.4,cataclysm or fire
The Judiciary Act is passed in the Australian parliament.,Australia,-25.0,133.0,none
The first stock-car event is held at the Milwaukee Mile .,"Milwaukee, United States",43.0,-87.9,none
Joseph Chamberlain resigns as British Colonial Secretary in order to campaign publicly for Imperial Preference .,United Kingdom,55.4,-3.0,none
"Grêmio Foot-Ball Porto Alegrense is founded in Porto Alegre , Brazil .","Porto Alegre, Brazil",-29.95,-51.22,none
Edmund Barton steps down as Prime Minister of Australia and is succeeded by Alfred Deakin .,Australia,-12.4,130.8,dynasty change
"The Wreck of the Old 97 Fast Mail train at Stillhouse Trestle, near Danville, Virginia , kills 11 people and inspires a ballad.","Danville, Virginia",36.8,-78.9,cataclysm or fire
"Prussia becomes the second jurisdiction to require mandatory driver's licenses for operators of motor vehicles, after New York State in 1901.",Prussia,52.5,13.4,none
13 – First modern World Series : The Boston Americans defeat the Pittsburgh Pirates in eight games.,,,,none
The High Court of Australia sits for the first time.,Australia,-27.0,133.0,none
The Women's Social and Political Union is founded in the U.K.,United Kingdom,55.0,-3.0,none
Maggie L. Walker becomes the first African American woman to charter a bank.,"Richmond, Virginia, United States",37.5,-77.4,none
"Separation of Panama from Colombia : With the encouragement of the United States, Panama proclaims itself independent of Colombia .",Panama,9.0,-80.0,revolution or coup
The English-language South China Morning Post newspaper is first published in Hong Kong .,Hong Kong,22.3,114.1,none
The United States recognizes the independence of Panama .,Panama,9.0,-80.0,none
"The Russian Social Democratic Labour Party splits into two groups: the Bolsheviks (Russian for ""majority"") and Mensheviks (Russian for ""minority"").",Russia,60.0,30.0,religious reform
"The Hay–Bunau-Varilla Treaty is signed by the United States and Panama , giving the U.S. exclusive rights over the Panama Canal Zone .",Panama,9.0,-80.0,purchase or sale of territory
Colorado governor James Hamilton Peabody sends the state militia into the town of Cripple Creek to break up a miners' strike.,Cripple Creek,39.1,-105.1,revolution or coup
"SS Petriana is wrecked on a reef outside Melbourne , Australia, causing one of the world's first major oil spills .","Melbourne, Australia",-37.8,144.9,cataclysm or fire
"The Taj Mahal Palace Hotel in Bombay (now Mumbai ), India opens.","Bombay (now Mumbai), India",19.076,72.8777,none
"Orville Wright flies an aircraft with a petrol engine , the Wright Flyer , at Kitty Hawk, North Carolina in the first documented and successful powered and controlled heavier-than-air flight.","Kitty Hawk, North Carolina",35.9,-75.3,none
The Iroquois Theatre fire in Chicago kills 600.,Chicago,41.88,-87.63,cataclysm or fire
The National Association for Women's Suffrage (Sweden) is founded.,Sweden,58.0,11.4,none
"The distress signal CQD is established, only to be replaced 2 years later by SOS .",,,,none
"The Blackstone Library is dedicated, marking the beginning of the Chicago Public Library system.","Chicago, United States",41.878,-87.629,none
The Herero Wars in German South West Africa begin.,German South West Africa,-22.0,14.5,war
"Anton Chekhov 's last play, The Cherry Orchard («Вишнëвый сад», Vishnevyi sad ), opens at the Moscow Art Theatre directed by Constantin Stanislavski , 6 month's before the author's death.","Moscow, Russia",55.75,37.61,none
"The Ålesund fire destroys most buildings in the town of Ålesund , Norway, leaving about 10,000 people without shelter.","Ålesund, Norway",62.4,5.8,cataclysm or fire
"Halford Mackinder presents a paper on "" The Geographical Pivot of History "" to the Royal Geographical Society of London in which he formulates the Heartland Theory , originating the study of geopolitics .","London, United Kingdom",51.5,-0.1,none
"The Great Baltimore Fire in Baltimore, Maryland , destroys over 1,500 buildings in 31 hours.","Baltimore, Maryland, United States",39.29,-76.61,cataclysm or fire
9 – Battle of Port Arthur : A surprise Japanese naval attack on Port Arthur (Lüshun) in Manchuria starts the Russo-Japanese War .,"Port Arthur (Lüshun), Manchuria",40.0,122.0,war
Roger Casement publishes his account of Belgian atrocities in the Congo .,Belgium,50.8,4.9,none
"Puccini 's opera Madama Butterfly , with a background theme of Japan–United States relations , debuts at La Scala in Milan , to no great acclaim. On May 28 a revised version opens in Brescia , to huge success.","Milan, Italy",45.5,9.2,none
"For $10 million, the United States gains control of the Panama Canal Zone.",Panama,9.0,-79.5,purchase or sale of territory
"The Wisconsin State Capitol , in Madison, Wisconsin , is almost entirely destroyed by fire after a gas jet ignites the newly varnished ceiling.","Madison, Wisconsin",43.09,-89.4,cataclysm or fire
"Kaiser Wilhelm II of Germany becomes the first person to make a recording of a political document, using Thomas Edison 's cylinder .",Germany,51.2,10.4,none
"Russo-Japanese War : Russian troops in Korea retreat toward Manchuria , followed by 100,000 Japanese troops.","Korea, Manchuria",PARSE_ERROR,PARSE_ERROR,war
"Scottish National Antarctic Expedition : Led by William Speirs Bruce , the Antarctic region of Coats Land is discovered from the Scotia .","Coats Land, Antarctica",-70.0,-20.0,none
"20,000 demonstrators gather in Hyde Park, London , to protest against the importation of Chinese labourers to South African gold mines.","Hyde Park, London, United Kingdom",51.5,-0.2,none
British expedition to Tibet : The Battle of Guru – British troops under Colonel Francis Younghusband defeat ill-equipped Tibetan troops.,Tibet,31.0,91.0,war
"1904 Kresna earthquakes : two earthquakes strike near Kresna, Bulgaria, killing at least 200 people.","Kresna, Bulgaria",42.6333,24.2833,cataclysm or fire
"Joseph F. Smith announces the Second Manifesto in General Conference of the Church of Jesus Christ of Latter-day Saints in Utah Territory , prohibiting the practice of polygamy , which has continued to be sanctioned by some of its leaders in violation of the 1890 Manifesto officially banning the practice.","Utah Territory, United States",39.0,-111.0,religious reform
"10 – Aleister Crowley writes Liber Al vel Legis , better known as The Book of the Law , a text central to Thelema , in Cairo.",Cairo,30.0,31.2,religious reform
"The Great Fire of Toronto destroys much of the city's downtown, but there are no fatalities.",Toronto,43.7,-79.4,cataclysm or fire
"The Australian Labor Party becomes the first such party to gain national government, under Chris Watson .",Australia,-25.0,133.0,revolution or coup
"The Louisiana Purchase Exposition World's Fair opens in St. Louis, Missouri (closes December 1 ).","St. Louis, Missouri",38.6,-90.2,purchase or sale of territory
Great Western Railway of England 3700 Class 3440 City of Truro possibly becomes the first railway locomotive to exceed 100 miles per hour (160 km/h).,England,51.0,-2.0,none
"Russo-Japanese War : Russian minelayer Amur lays a minefield about 15 miles (24 km) off Port Arthur , and sinks Japan 's battleships Hatsuse , 15,000 tons with 496 crew, and Yashima . On the same day, the Japanese protected cruiser Yoshino sinks after being accidentally rammed by the armored cruiser Kasuga , killing over 270 crew, including Captain Sayegi and his second-in-command, Commander Hirowateri. Japan will keep the loss of Yashima secret for over a year.",Port Arthur,39.9,121.6,war
"The International Federation of Association Football, FIFA , is established.",,,,none
"Alpha Gamma Delta , which becomes an international sorority, is founded by 11 women at Syracuse University .","Syracuse, United States",43.05,-76.1,none
The International Alliance of Women is founded.,,,,none
"A fire aboard the steamboat General Slocum in New York City's East River kills 1,021.","New York City, United States",40.7,-74.0,cataclysm or fire
The 1904 Moscow tornado occurs.,Moscow,55.8,37.6,cataclysm or fire
"The third Modern Olympic Games open in St. Louis, Missouri , United States, as part of the World's Fair .","St. Louis, Missouri, United States",38.6,-90.2,none
"The first 2,000 of 62,000 contracted Chinese coolies arrive at Durban in South Africa from Qinhuangdao to relieve the shortage of unskilled labourers in the Transvaal Colony gold mines, recruited and shipped by the Chinese Engineering and Mining Corporation (CEMC), of which Herbert Hoover is a director.","Durban, South Africa",-29.85,31.04,none
A continuous track tractor is patented by David Roberts of Richard Hornsby & Sons of Grantham in England.,"Grantham, England",52.9,-0.5,none
"British expedition to Tibet : The British expedition under Colonel Francis Younghusband takes Lhasa , Tibet .","Lhasa, Tibet",29.67,91.1,war
